Roll,Mid,End,Total,Mean,SD,Z,G
CO/113,21,38,59,45.5,11.8139747757,1.1427144764,9
CO/115,17,33,50,45.5,11.8139747757,0.380904825467,7
CO/116,17,25,42,45.5,11.8139747757,-0.296259308697,6
CO/117,21,29,50,45.5,11.8139747757,0.380904825467,7
CO/121,22,29,51,45.5,11.8139747757,0.465550342238,7
CO/123,18,32,50,45.5,11.8139747757,0.380904825467,7
CO/134,19,35,54,45.5,11.8139747757,0.71948689255,8
CO/135,20,27,47,45.5,11.8139747757,0.126968275156,7
CO/136,16,30,46,45.5,11.8139747757,0.0423227583853,7
CO/140,19,35,54,45.5,11.8139747757,0.71948689255,8
CO/145,15,41,56,45.5,11.8139747757,0.888777926091,8
CO/146,18,35,53,45.5,11.8139747757,0.634841375779,8
Other,5,17,22,45.5,11.8139747757,-1.98916964411,0
Other,22,39,61,45.5,11.8139747757,1.31200550994,9
Other,19,31,50,45.5,11.8139747757,0.380904825467,7
Other,14,22,36,45.5,11.8139747757,-0.80413240932,5
Other,11,16,27,45.5,11.8139747757,-1.56594206025,0
Other,20,26,46,45.5,11.8139747757,0.0423227583853,7
Other,14,18,32,45.5,11.8139747757,-1.1427144764,4
Other,22,32,54,45.5,11.8139747757,0.71948689255,8
Other,15,31,46,45.5,11.8139747757,0.0423227583853,7
Other,8,11,19,45.5,11.8139747757,-2.24310619442,0
Other,17,37,54,45.5,11.8139747757,0.71948689255,8
Other,23,36,59,45.5,11.8139747757,1.1427144764,9
Other,20,35,55,45.5,11.8139747757,0.80413240932,8
Other,20,40,60,45.5,11.8139747757,1.22735999317,9
Other,16,37,53,45.5,11.8139747757,0.634841375779,8
Other,18,30,48,45.5,11.8139747757,0.211613791926,7
Other,17,29,46,45.5,11.8139747757,0.0423227583853,7
Other,20,41,61,45.5,11.8139747757,1.31200550994,9
Other,15,18,33,45.5,11.8139747757,-1.05806895963,4
Other,10,13,23,45.5,11.8139747757,-1.90452412734,0
Other,22,33,55,45.5,11.8139747757,0.80413240932,8
Other,17,19,36,45.5,11.8139747757,-0.80413240932,5
Other,17,25,42,45.5,11.8139747757,-0.296259308697,6
Other,16,22,38,45.5,11.8139747757,-0.634841375779,5
Other,11,15,26,45.5,11.8139747757,-1.65058757703,0
