Roll,Mid,End,Total,Mean,SD,Z,G
29,16.5,22,38.5,40.5155172414,14.8069828788,-0.136119374073,6
30,6.75,9,15.75,40.5155172414,14.8069828788,-1.67255662035,0
31,8.25,11,19.25,40.5155172414,14.8069828788,-1.43618165938,4
32,14.25,19,33.25,40.5155172414,14.8069828788,-0.490681815522,6
33,21.0,28,49.0,40.5155172414,14.8069828788,0.573005508823,8
34,21.75,29,50.75,40.5155172414,14.8069828788,0.691192989306,8
35,12.75,17,29.75,40.5155172414,14.8069828788,-0.727056776487,5
36,15.75,21,36.75,40.5155172414,14.8069828788,-0.254306854556,6
37,22.5,30,52.5,40.5155172414,14.8069828788,0.809380469789,8
38,9.75,13,22.75,40.5155172414,14.8069828788,-1.19980669842,4
39,12.75,17,29.75,40.5155172414,14.8069828788,-0.727056776487,5
40,21.75,29,50.75,40.5155172414,14.8069828788,0.691192989306,8
41,22.5,30,52.5,40.5155172414,14.8069828788,0.809380469789,8
42,18.0,24,42.0,40.5155172414,14.8069828788,0.100255586892,7
43,15.75,21,36.75,40.5155172414,14.8069828788,-0.254306854556,6
44,25.5,34,59.5,40.5155172414,14.8069828788,1.28213039172,9
45,24.75,33,57.75,40.5155172414,14.8069828788,1.16394291124,9
46,8.25,11,19.25,40.5155172414,14.8069828788,-1.43618165938,4
47,12.0,16,28.0,40.5155172414,14.8069828788,-0.84524425697,5
48,20.25,27,47.25,40.5155172414,14.8069828788,0.454818028341,7
49,14.25,19,33.25,40.5155172414,14.8069828788,-0.490681815522,6
50,14.25,19,33.25,40.5155172414,14.8069828788,-0.490681815522,6
51,23.25,31,54.25,40.5155172414,14.8069828788,0.927567950272,8
52,25.5,34,59.5,40.5155172414,14.8069828788,1.28213039172,9
53,7.5,10,17.5,40.5155172414,14.8069828788,-1.55436913987,0
55,23.25,31,54.25,40.5155172414,14.8069828788,0.927567950272,8
56,21.0,28,49.0,40.5155172414,14.8069828788,0.573005508823,8
57,14.25,19,33.25,40.5155172414,14.8069828788,-0.490681815522,6
58,11.25,15,26.25,40.5155172414,14.8069828788,-0.963431737453,5
59,15.75,21,36.75,40.5155172414,14.8069828788,-0.254306854556,6
60,28.5,38,66.5,40.5155172414,14.8069828788,1.75488031365,10
61,22.5,30,52.5,40.5155172414,14.8069828788,0.809380469789,8
62,10.5,14,24.5,40.5155172414,14.8069828788,-1.08161921794,4
63,22.5,30,52.5,40.5155172414,14.8069828788,0.809380469789,8
64,11.25,15,26.25,40.5155172414,14.8069828788,-0.963431737453,5
65,22.5,30,52.5,40.5155172414,14.8069828788,0.809380469789,8
66,6.75,9,15.75,40.5155172414,14.8069828788,-1.67255662035,0
67,26.25,35,61.25,40.5155172414,14.8069828788,1.4003178722,9
68,16.5,22,38.5,40.5155172414,14.8069828788,-0.136119374073,6
69,20.25,27,47.25,40.5155172414,14.8069828788,0.454818028341,7
70,12.75,17,29.75,40.5155172414,14.8069828788,-0.727056776487,5
71,21.75,29,50.75,40.5155172414,14.8069828788,0.691192989306,8
72,10.5,14,24.5,40.5155172414,14.8069828788,-1.08161921794,4
73,13.5,18,31.5,40.5155172414,14.8069828788,-0.608869296004,5
74,13.5,18,31.5,40.5155172414,14.8069828788,-0.608869296004,5
75,18.75,25,43.75,40.5155172414,14.8069828788,0.218443067375,7
76,23.25,31,54.25,40.5155172414,14.8069828788,0.927567950272,8
77,18.0,24,42.0,40.5155172414,14.8069828788,0.100255586892,7
78,17.25,23,40.25,40.5155172414,14.8069828788,-0.0179318935905,6
79,16.5,22,38.5,40.5155172414,14.8069828788,-0.136119374073,6
80,12.0,16,28.0,40.5155172414,14.8069828788,-0.84524425697,5
81,18.75,25,43.75,40.5155172414,14.8069828788,0.218443067375,7
82,14.25,19,33.25,40.5155172414,14.8069828788,-0.490681815522,6
83,17.25,23,40.25,40.5155172414,14.8069828788,-0.0179318935905,6
84,12.75,17,29.75,40.5155172414,14.8069828788,-0.727056776487,5
85,15.0,20,35.0,40.5155172414,14.8069828788,-0.372494335039,6
86,26.25,35,61.25,40.5155172414,14.8069828788,1.4003178722,9
87,18.75,25,43.75,40.5155172414,14.8069828788,0.218443067375,7
88,18.0,24,42.0,40.5155172414,14.8069828788,0.100255586892,7
89,23.25,31,54.25,40.5155172414,14.8069828788,0.927567950272,8
90,19.5,26,45.5,40.5155172414,14.8069828788,0.336630547858,7
91,20.25,27,47.25,40.5155172414,14.8069828788,0.454818028341,7
92,18.0,24,42.0,40.5155172414,14.8069828788,0.100255586892,7
93,21.75,29,50.75,40.5155172414,14.8069828788,0.691192989306,8
94,25.5,34,59.5,40.5155172414,14.8069828788,1.28213039172,9
95,3.75,5,8.75,40.5155172414,14.8069828788,-2.14530654228,0
96,24.0,32,56.0,40.5155172414,14.8069828788,1.04575543075,9
97,18.0,24,42.0,40.5155172414,14.8069828788,0.100255586892,7
98,15.75,21,36.75,40.5155172414,14.8069828788,-0.254306854556,6
100,0.0,0,0.0,40.5155172414,14.8069828788,-2.73624394469,0
101,6.0,8,14.0,40.5155172414,14.8069828788,-1.79074410083,0
102,24.0,32,56.0,40.5155172414,14.8069828788,1.04575543075,9
103,17.25,23,40.25,40.5155172414,14.8069828788,-0.0179318935905,6
104,25.5,34,59.5,40.5155172414,14.8069828788,1.28213039172,9
105,14.25,19,33.25,40.5155172414,14.8069828788,-0.490681815522,6
106,14.25,19,33.25,40.5155172414,14.8069828788,-0.490681815522,6
107,7.5,10,17.5,40.5155172414,14.8069828788,-1.55436913987,0
108,21.75,29,50.75,40.5155172414,14.8069828788,0.691192989306,8
109,19.5,26,45.5,40.5155172414,14.8069828788,0.336630547858,7
110,14.25,19,33.25,40.5155172414,14.8069828788,-0.490681815522,6
111,13.5,18,31.5,40.5155172414,14.8069828788,-0.608869296004,5
112,29.25,39,68.25,40.5155172414,14.8069828788,1.87306779413,10
113,23.25,31,54.25,40.5155172414,14.8069828788,0.927567950272,8
114,19.5,26,45.5,40.5155172414,14.8069828788,0.336630547858,7
115,15.75,21,36.75,40.5155172414,14.8069828788,-0.254306854556,6
116,9.75,13,22.75,40.5155172414,14.8069828788,-1.19980669842,4
117,15.75,21,36.75,40.5155172414,14.8069828788,-0.254306854556,6
118,24.75,33,57.75,40.5155172414,14.8069828788,1.16394291124,9
119,15.75,21,36.75,40.5155172414,14.8069828788,-0.254306854556,6
120,19.5,26,45.5,40.5155172414,14.8069828788,0.336630547858,7
121,20.25,27,47.25,40.5155172414,14.8069828788,0.454818028341,7
122,20.25,27,47.25,40.5155172414,14.8069828788,0.454818028341,7
123,17.25,23,40.25,40.5155172414,14.8069828788,-0.0179318935905,6
124,17.25,23,40.25,40.5155172414,14.8069828788,-0.0179318935905,6
125,27.75,37,64.75,40.5155172414,14.8069828788,1.63669283317,10
126,16.5,22,38.5,40.5155172414,14.8069828788,-0.136119374073,6
127,22.5,30,52.5,40.5155172414,14.8069828788,0.809380469789,8
128,21.75,29,50.75,40.5155172414,14.8069828788,0.691192989306,8
129,18.0,24,42.0,40.5155172414,14.8069828788,0.100255586892,7
130,15.0,20,35.0,40.5155172414,14.8069828788,-0.372494335039,6
131,12.0,16,28.0,40.5155172414,14.8069828788,-0.84524425697,5
132,27.0,36,63.0,40.5155172414,14.8069828788,1.51850535269,10
133,28.5,38,66.5,40.5155172414,14.8069828788,1.75488031365,10
134,19.5,26,45.5,40.5155172414,14.8069828788,0.336630547858,7
135,23.25,31,54.25,40.5155172414,14.8069828788,0.927567950272,8
136,16.5,22,38.5,40.5155172414,14.8069828788,-0.136119374073,6
137,28.5,38,66.5,40.5155172414,14.8069828788,1.75488031365,10
138,23.25,31,54.25,40.5155172414,14.8069828788,0.927567950272,8
140,20.25,27,47.25,40.5155172414,14.8069828788,0.454818028341,7
141,23.25,31,54.25,40.5155172414,14.8069828788,0.927567950272,8
142,15.0,20,35.0,40.5155172414,14.8069828788,-0.372494335039,6
143,13.5,18,31.5,40.5155172414,14.8069828788,-0.608869296004,5
144,19.5,26,45.5,40.5155172414,14.8069828788,0.336630547858,7
145,20.25,27,47.25,40.5155172414,14.8069828788,0.454818028341,7
146,21.75,29,50.75,40.5155172414,14.8069828788,0.691192989306,8
147,0.0,0,0.0,40.5155172414,14.8069828788,-2.73624394469,0
148,20.25,27,47.25,40.5155172414,14.8069828788,0.454818028341,7
